profileID,respID,qID,altID,obsID,enrollment,monthly,window,guaranteed,minimum,charger_No,charger_Yes,time_control_5pm-9am,time_control_24/7,no_choice
0,4,6,3,30,0,0,0,0,0,0,0,0,0,1
34,4,7,1,31,100,20,1,50,20,0,1,1,0,0
564,4,7,2,31,300,15,4,50,30,1,0,0,1,0
0,4,7,3,31,0,0,0,0,0,0,0,0,0,1
871,4,8,1,32,100,20,0.5,50,40,1,0,1,0,0
271,4,8,2,32,100,10,4,60,20,1,0,0,1,0
0,4,8,3,32,0,0,0,0,0,0,0,0,0,1
124,5,1,1,33,100,20,2,50,20,0,1,0,1,0
746,5,1,2,33,200,20,1,70,30,1,0,1,0,0
0,5,1,3,33,0,0,0,0,0,0,0,0,0,1
1143,5,2,1,34,300,20,4,60,40,1,0,0,1,0
498,5,2,2,34,300,10,4,50,30,0,1,1,0,0
0,5,2,3,34,0,0,0,0,0,0,0,0,0,1
986,5,3,1,35,200,15,2,50,40,0,1,0,1,0
1073,5,3,2,35,200,10,4,60,40,0,1,1,0,0
0,5,3,3,35,0,0,0,0,0,0,0,0,0,1
205,5,4,1,36,100,20,4,60,20,1,0,1,0,0
152,5,4,2,36,200,20,0.5,60,20,1,0,1,0,0
0,5,4,3,36,0,0,0,0,0,0,0,0,0,1
190,5,5,1,37,100,10,2,60,20,0,1,1,0,0
341,5,5,2,37,200,20,2,70,20,0,1,1,0,0
0,5,5,3,37,0,0,0,0,0,0,0,0,0,1
650,5,6,1,38,200,10,0.5,60,30,1,0,0,1,0
15,5,6,2,38,300,15,0.5,50,20,0,1,1,0,0
0,5,6,3,38,0,0,0,0,0,0,0,0,0,1
192,5,7,1,39,300,10,2,60,20,0,1,1,0,0
803,5,7,2,39,200,10,0.5,70,30,0,1,0,1,0
0,5,7,3,39,0,0,0,0,0,0,0,0,0,1
1092,5,8,1,40,300,10,0.5,60,40,0,1,0,1,0
550,5,8,2,40,100,10,2,50,30,0,1,0,1,0
0,5,8,3,40,0,0,0,0,0,0,0,0,0,1
782,6,1,1,41,200,20,4,70,30,1,0,1,0,0
988,6,1,2,41,100,20,2,50,40,0,1,0,1,0
0,6,1,3,41,0,0,0,0,0,0,0,0,0,1
216,6,2,1,42,300,20,4,60,20,0,1,1,0,0
1283,6,2,2,42,200,15,4,70,40,1,0,0,1,0
0,6,2,3,42,0,0,0,0,0,0,0,0,0,1
168,6,3,1,43,300,15,1,60,20,1,0,1,0,0
413,6,3,2,43,200,20,2,70,20,0,1,0,1,0
0,6,3,3,43,0,0,0,0,0,0,0,0,0,1
1279,6,4,1,44,100,10,4,70,40,1,0,0,1,0
344,6,4,2,44,200,10,4,70,20,1,0,1,0,0
0,6,4,3,44,0,0,0,0,0,0,0,0,0,1
249,6,5,1,45,300,15,1,60,20,0,1,0,1,0
621,6,5,2,45,300,20,2,60,30,1,0,1,0,0
0,6,5,3,45,0,0,0,0,0,0,0,0,0,1
504,6,6,1,46,300,20,4,50,30,0,1,1,0,0
188,6,6,2,46,200,20,2,60,20,1,0,1,0,0
0,6,6,3,46,0,0,0,0,0,0,0,0,0,1
27,6,7,1,47,300,20,1,50,20,1,0,1,0,0
357,6,7,2,47,300,15,4,70,20,0,1,1,0,0
0,6,7,3,47,0,0,0,0,0,0,0,0,0,1
835,6,8,1,48,100,20,2,70,30,1,0,0,1,0
20,6,8,2,48,200,10,1,50,20,1,0,1,0,0
0,6,8,3,48,0,0,0,0,0,0,0,0,0,1
633,7,1,1,49,300,10,4,60,30,1,0,1,0,0
747,7,1,2,49,300,20,1,70,30,1,0,1,0,0
0,7,1,3,49,0,0,0,0,0,0,0,0,0,1
245,7,2,1,50,200,10,1,60,20,0,1,0,1,0
